state,county,source_id_or_label,category,in_source_registry,discovered,verification_status,technical_acquisition_status,authorization_status_for_customer_display,production_enabled_for_customer_display,evidence_reference
FL,Clay,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Clay,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Clay,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Collier,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Collier,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Collier,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Collier,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Collier,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Columbia,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Columbia,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Columbia,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Columbia,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Columbia,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,DeSoto,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,DeSoto,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,DeSoto,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,DeSoto,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,DeSoto,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Dixie,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Dixie,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Dixie,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Dixie,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Dixie,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Duval,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Duval,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Duval,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Duval,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Duval,Duval County Property Appraiser,property_appraisal,NO,YES,MECHANISM_CONFIRMED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Escambia,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Escambia,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Escambia,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Escambia,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Escambia,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Flagler,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Flagler,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Flagler,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Flagler,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Flagler,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Franklin,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Franklin,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Franklin,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Franklin,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Franklin,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Gadsden,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Gadsden,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Gadsden,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Gadsden,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Gadsden,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Gilchrist,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Gilchrist,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Gilchrist,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Gilchrist,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Gilchrist,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Glades,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Glades,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Glades,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Glades,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Glades,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Gulf,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Gulf,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Gulf,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Gulf,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Gulf,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Hamilton,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Hamilton,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Hamilton,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Hamilton,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Hamilton,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Hardee,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Hardee,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Hardee,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Hardee,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Hardee,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Hendry,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Hendry,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Hendry,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Hendry,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Hendry,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Hernando,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Hernando,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Hernando,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Hernando,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Hernando,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Highlands,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
FL,Highlands,fl_lienhub_certificates,tax_certificate,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_lienhub_certificates.ps1, harvesters/governance/authorization.py"
FL,Highlands,fl_laft_pdfs,laft_deed_list,YES,YES,CONTENT_VERIFIED,ACQUIRED,APPROVED,YES,"scripts/harvest_laft_pdfs.py, data/laft_pdf_sources.csv, claude/phase-33-5-florida-production-source-rights-audit.md"
FL,Highlands,FDOR Statewide Cadastral FeatureServer,gis,NO,YES,UNVERIFIED,NOT_ACQUIRED,DISCOVERED,NO,data/fl_county_coverage_matrix.csv
FL,Highlands,UNKNOWN,property_appraisal,NO,YES,UNVERIFIED,NOT_ACQUIRED,UNKNOWN,NO,data/fl_county_coverage_matrix.csv
FL,Hillsborough,fl_realauction,auction,YES,YES,CONTENT_VERIFIED,ACQUIRED,UNKNOWN,NO,"scripts/harvest_all_counties.ps1, claude/phase-33-5-florida-production-source-rights-audit.md, harvesters/governance/authorization.py"
