state,county,source_id,source_name,category,acquisition_mechanism,adapter_implemented,discovery_status,verification_status,technical_status,technical_testing_permitted,authorization_status,production_status,records_observed_at_source,records_seen,records_acquired,coverage_percentage,last_success,failure_reason,notes
FL,Bay,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Bradford,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Bradford,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Bradford,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Brevard,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Brevard,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Brevard,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Brevard,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Broward,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Broward,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Broward,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Calhoun,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Calhoun,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Calhoun,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Calhoun,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Charlotte,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Charlotte,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Charlotte,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Citrus,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Citrus,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Citrus,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Citrus,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Clay,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Clay,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Clay,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Clay,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Collier,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Collier,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Columbia,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Columbia,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Columbia,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,DeSoto,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Dixie,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Dixie,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Dixie,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Duval,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Duval,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Duval,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Duval,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Escambia,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Escambia,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Escambia,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Escambia,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Flagler,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Flagler,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Flagler,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Flagler,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Franklin,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Franklin,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Franklin,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Gadsden,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Gadsden,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Gadsden,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Gilchrist,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Gilchrist,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Gilchrist,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Glades,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Glades,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Glades,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Gulf,fl_realauction,Florida RealAuction/RealForeclose county sites,AUCTION|AUCTION_DATE|OPENING_BID|CASE_NUMBER,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Gulf,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Gulf,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Gulf,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
FL,Hamilton,fl_lienhub_certificates,LienHub tax certificate sales,TAX_CERTIFICATE|ASSESSED_VALUE|OWNERSHIP,HTML_PUBLIC_SEARCH,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,UNKNOWN,NOT_ENABLED,,0,0,,,UNKNOWN,
FL,Hamilton,fl_laft_pdfs,Florida Lands Available for Taxes (LAFT) - per-county PDF lists,TAX_SALE|PARCEL_APN|LEGAL_DESCRIPTION,DOCUMENT_PDF,NO,DISCOVERED,CONTENT_VERIFIED,TECHNICAL_ACQUISITION_SUCCESS,YES,APPROVED,ENABLED,,0,0,,,,
FL,Hamilton,fl_dor_statewide,"Florida Department of Revenue Property Tax Data Portal (statewide NAL/NAP assessment rolls, sales files, GIS)",ASSESSMENT|JUST_VALUE|SALES_HISTORY|GIS,ARCGIS_REST,YES,DISCOVERED,MECHANISM_CONFIRMED,TECHNICAL_ACQUISITION_READY,YES,LEGAL_REVIEW_REQUIRED,NOT_ENABLED,,0,0,,,LEGAL_REVIEW_REQUIRED,
