source_id,provider,government_entity,state,county,source_url,terms_url,license_url,access_method,automated_access_status,commercial_use_status,customer_display_status,redistribution_status,export_status,api_redistribution_status,derived_data_status,caching_status,raw_storage_status,image_rights,document_rights,attribution_required,retention_requirements,privacy_notes,legal_basis,legal_status,approval_notes,evidence_reference,reviewed_at
fl_property_appraiser__county__hillsborough,Hillsborough County Property Appraiser,"Hillsborough County, Florida",FL,Hillsborough,www.hcpafl.org,hcpafl.org/Disclaimer,UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"'No warranties, expressed or implied, are provided for the data herein, its use, or its interpretation.' Copyright 'All Rights Reserved' footer notice. No explicit automated-access or commercial-use clause found.",LEGAL_REVIEW_REQUIRED,No affirmative commercial/automated-access permission found; no upgrade from government-website status alone (Section 7's explicit rule).,hcpafl.org/Disclaimer,2026-09-15
fl_property_appraiser__county__orange,Orange County Property Appraiser,"Orange County, Florida",FL,Orange,www.ocpafl.org,UNKNOWN,UNKNOWN,OFFICIAL_PUBLIC_SEARCH,DISCOVERED (terms not reviewed this phase),DISCOVERED (terms not reviewed this phase),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Site is a JavaScript-rendered portal (ocpaweb.ocpafl.org); no static disclaimer text was extractable this phase - not independently reviewed.,DISCOVERED,"Terms of use not reviewed this phase - site identity only (Phase 35). Left at DISCOVERED, not upgraded.",Phase 35 site-identity verification only; no terms fetch this phase,2026-09-15
fl_property_appraiser__county__pinellas,Pinellas County Property Appraiser,"Pinellas County, Florida",FL,Pinellas,www.pcpao.gov,pcpao.gov/learn-about/disclaimer,UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Explicitly prohibits activity that 'adversely impacts the performance of the system' including 'electronic data harvesting' (may terminate access). States records 'maintained solely for the purpose of creating the annual property tax roll... may not be appropriate for any other use.' The single clearest automated-access-restriction finding among the 12 Florida counties reviewed this phase.,LEGAL_REVIEW_REQUIRED,No affirmative commercial/automated-access permission found; no upgrade from government-website status alone (Section 7's explicit rule).,pcpao.gov/learn-about/disclaimer,2026-09-15
fl_property_appraiser__county__lee,Lee County Property Appraiser,"Lee County, Florida",FL,Lee,www.leepa.org,leepa.org/Search/PropertySearchDatabaseDisclaimer.aspx,UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Liability disclaimer only ('will not be held liable as to validity, correctness, accuracy'); data collected 'primarily for creating a Property Tax Roll'; no explicit automated-access or commercial-use clause found.",LEGAL_REVIEW_REQUIRED,No affirmative commercial/automated-access permission found; no upgrade from government-website status alone (Section 7's explicit rule).,leepa.org/Search/PropertySearchDatabaseDisclaimer.aspx,2026-09-15
fl_property_appraiser__county__polk,Polk County Property Appraiser,"Polk County, Florida",FL,Polk,www.polkflpa.gov,UNKNOWN,UNKNOWN,OFFICIAL_PUBLIC_SEARCH,DISCOVERED (terms not reviewed this phase),DISCOVERED (terms not reviewed this phase),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Not independently fetched this phase for disclaimer text - carried at DISCOVERED (mechanism verified Phase 35, terms not reviewed).",DISCOVERED,"Terms of use not reviewed this phase - site identity only (Phase 35). Left at DISCOVERED, not upgraded.",Phase 35 site-identity verification only; no terms fetch this phase,2026-09-15
fl_property_appraiser__county__brevard,Brevard County Property Appraiser,"Brevard County, Florida",FL,Brevard,www.bcpao.us,bcpao.us (homepage),UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"'BCPAO website content is informational only, and BCPAO provides no warranty and assumes no liability for its use, interpretation, access, or availability.' No explicit automated-access or commercial-use clause found.",LEGAL_REVIEW_REQUIRED,No affirmative commercial/automated-access permission found; no upgrade from government-website status alone (Section 7's explicit rule).,bcpao.us (homepage),2026-09-15
fl_property_appraiser__county__volusia,Volusia County Property Appraiser,"Volusia County, Florida",FL,Volusia,vcpa.vcgov.org,vcpa.vcgov.org/info,UNKNOWN,OFFICIAL_PUBLIC_SEARCH,DISCOVERED (terms not reviewed this phase),DISCOVERED (terms not reviewed this phase),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No disclaimer/terms text was extractable from the fetched page this phase - not independently reviewed beyond confirming the site's existence (already done Phase 35).,DISCOVERED,"Terms of use not reviewed this phase - site identity only (Phase 35). Left at DISCOVERED, not upgraded.",vcpa.vcgov.org/info,2026-09-15
fl_property_appraiser__county__pasco,Pasco County Property Appraiser,"Pasco County, Florida",FL,Pasco,pascopa.com,UNKNOWN,UNKNOWN,OFFICIAL_PUBLIC_SEARCH,DISCOVERED (terms not reviewed this phase),DISCOVERED (terms not reviewed this phase),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Not independently fetched this phase for disclaimer text - carried at DISCOVERED (mechanism verified Phase 35, terms not reviewed).",DISCOVERED,"Terms of use not reviewed this phase - site identity only (Phase 35). Left at DISCOVERED, not upgraded.",Phase 35 site-identity verification only; no terms fetch this phase,2026-09-15
tx_comptroller_property_tax_reports,Texas Comptroller of Public Accounts,State of Texas,TX,UNKNOWN,comptroller.texas.gov/taxes/property-tax/reports/index.php,UNKNOWN,UNKNOWN,OFFICIAL_OPEN_DATA,"LEGAL_REVIEW_REQUIRED (no terms of use/license found; reviewed live this phase, no restriction and no permission stated)",LEGAL_REVIEW_REQUIRED (no commercial-use statement found on the reviewed page),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,NOT_APPLICABLE (no images in this data product),NOT_APPLICABLE (no documents in this data product),UNKNOWN,UNKNOWN,UNKNOWN,No terms of use/license stated on the Reports and Surveys page (fetched live this phase),LEGAL_REVIEW_REQUIRED,"Statewide but JURISDICTION-LEVEL AGGREGATE data (appraisal ratio studies, biennial tax-rate/value summaries, ARB survey, operations survey) - NOT parcel-level property records. Does not replace the need for county-level CAD data for a per-property product; useful only for macro/reference analytics. Section 17's explicit distinction: this is a 'directory'/'tax data' resource, not a 'property search' or 'assessment data' resource at the parcel level.",comptroller.texas.gov/taxes/property-tax/reports/index.php (fetched live 2026-09-15),2026-09-15
tx_tnris_stratmap_land_parcels,Texas Natural Resources Information System (TNRIS/TxGIO),State of Texas,TX,UNKNOWN,tnris.org/stratmap/land-parcels.html,UNKNOWN,UNKNOWN,OFFICIAL_OPEN_DATA,LEGAL_REVIEW_REQUIRED (no terms of use/license found; reviewed live this phase),LEGAL_REVIEW_REQUIRED (no commercial-use statement found on the reviewed page),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,NOT_APPLICABLE (no images in this data product),NOT_APPLICABLE (no documents in this data product),UNKNOWN,Dataset explicitly notes it is 'not survey grade and should not be used for legal purposes',UNKNOWN,"No license/terms-of-use statement found on the Land Parcels page (fetched live this phase); dataset is sourced FROM each county appraisal district's own CAMA system, so any county-level restriction on that underlying data is not necessarily cleared by TxGIO's aggregation",LEGAL_REVIEW_REQUIRED,"A real, statewide, standardized-schema GIS parcel + attribute layer aggregated from Texas CADs, provided at no cost - genuinely useful for the GIS/parcel-boundary category and potentially reduces per-county GIS integration work. BUT: (1) coverage is explicitly incomplete - 'not all counties are currently available for download from TxGIO'; (2) data may be stale relative to a county's own current CAD data ('more current information available from appraisal districts, their 3rd party vendor, or commercial vendors' per TxGIO's own page); (3) no license/terms was found, so the same 'free and public but commercial rights unclear' rule applies - LEGAL_REVIEW_REQUIRED, not APPROVED, and not treated as a full substitute for county-level appraisal-district data.",tnris.org/stratmap/land-parcels.html (fetched live 2026-09-15),2026-09-15
tx_realauction__county__travis,"RealAuction.com, LLC",Travis County Constable/Tax Assessor-Collector,TX,Travis,travis.texas.realforeclose.com,UNKNOWN,UNKNOWN,LICENSED_VENDOR,"NO (robots.txt disallows automated fetch - confirmed live this phase, ROBOTS_DISALLOWED)",LEGAL_REVIEW_REQUIRED (county-specific EULA text not independently obtained this phase - only the robots.txt access-control finding was gathered; not assumed identical to the FL RealAuction EULA text found in Phase 34A),LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"This phase's own live fetch attempt against travis.texas.realforeclose.com/robots.txt returned ROBOTS_DISALLOWED, the same technical finding as the three Florida RealAuction deployments checked this phase (Alachua, Miami-Dade, Brevard) - the robots.txt block appears platform-wide across states and both RealAuction subdomain patterns, though each county's own EULA content still requires independent review before any commercial-use conclusion.",LEGAL_REVIEW_REQUIRED,County-scoped to Travis only. Demonstrates the vendor (RealAuction) operates the same access-controlled model in Texas as in Florida; does not establish that Travis's specific license terms match Alachua/Volusia's - only that automated access is technically blocked. Texas RealAuction platform is otherwise out of scope this phase beyond this single evidence point.,"This phase's own ROBOTS_DISALLOWED result fetching travis.texas.realforeclose.com/robots.txt, 2026-09-15",2026-09-15
tx_appraisal_district__county__harris,Harris County Appraisal District,"Harris County, Texas",TX,Harris,hcad.org,hcad.org (Public Access Policies PDF),UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Linked 'Public Access Policies' PDF addresses board governance, public meetings, and taxpayer complaint procedures - contains NO data-access, licensing, commercial-use, or automated-access policy language. No usable terms-of-use finding either way.",LEGAL_REVIEW_REQUIRED,"No affirmative commercial/automated-access permission found and no explicit prohibition either. Per Phase 36 Section 11's explicit rule, an UNKNOWN/inconclusive finding on a reviewed source is recorded as LEGAL_REVIEW_REQUIRED, never left at a weaker status and never inferred up to APPROVED. Matches Harris County's (tx_hctax) own long-standing 'no restriction found, no permission found' pattern, applied here at the appraisal-district level.",hcad.org (Public Access Policies PDF),2026-09-15
tx_appraisal_district__county__dallas,Dallas County Appraisal District,"Dallas County, Texas",TX,Dallas,www.dallascad.org,dallascad.org (homepage),UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,'This website is for informational purposes only... This is not deemed a legal document.' No explicit automated-access or commercial-use restriction found.,LEGAL_REVIEW_REQUIRED,"No affirmative commercial/automated-access permission found and no explicit prohibition either. Per Phase 36 Section 11's explicit rule, an UNKNOWN/inconclusive finding on a reviewed source is recorded as LEGAL_REVIEW_REQUIRED, never left at a weaker status and never inferred up to APPROVED. Matches Harris County's (tx_hctax) own long-standing 'no restriction found, no permission found' pattern, applied here at the appraisal-district level.",dallascad.org (homepage),2026-09-15
tx_appraisal_district__county__bexar,Bexar County Appraisal District,"Bexar County, Texas",TX,Bexar,www.bcad.org,bcad.org (homepage),UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Bare '© Copyright Bexar Central Appraisal District' notice only - no linked terms-of-use page found, no automated-access or commercial-use language either way.",LEGAL_REVIEW_REQUIRED,"No affirmative commercial/automated-access permission found and no explicit prohibition either. Per Phase 36 Section 11's explicit rule, an UNKNOWN/inconclusive finding on a reviewed source is recorded as LEGAL_REVIEW_REQUIRED, never left at a weaker status and never inferred up to APPROVED. Matches Harris County's (tx_hctax) own long-standing 'no restriction found, no permission found' pattern, applied here at the appraisal-district level.",bcad.org (homepage),2026-09-15
tx_appraisal_district__county__tarrant,Tarrant County Appraisal District,"Tarrant County, Texas",TX,Tarrant,www.tad.org,tad.org (homepage),UNKNOWN,OFFICIAL_PUBLIC_SEARCH,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,LEGAL_REVIEW_REQUIRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No disclaimer, terms of use, or copyright notice found on the fetched homepage content.",LEGAL_REVIEW_REQUIRED,"No affirmative commercial/automated-access permission found and no explicit prohibition either. Per Phase 36 Section 11's explicit rule, an UNKNOWN/inconclusive finding on a reviewed source is recorded as LEGAL_REVIEW_REQUIRED, never left at a weaker status and never inferred up to APPROVED. Matches Harris County's (tx_hctax) own long-standing 'no restriction found, no permission found' pattern, applied here at the appraisal-district level.",tad.org (homepage),2026-09-15
tx_appraisal_district__county__montgomery,Montgomery County Appraisal District,"Montgomery County, Texas",TX,Montgomery,www.mcad-tx.org,UNKNOWN,UNKNOWN,OFFICIAL_PUBLIC_SEARCH,"DISCOVERED (terms not reviewed - JS portal, not extractable this phase)",DISCOVERED (terms not reviewed this phase),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Site renders as a JavaScript 'Public Portal' shell - no static terms text extractable this phase.,DISCOVERED,"Site rendered as a JavaScript portal with no static content this phase - no review could actually be performed, so this stays DISCOVERED (identified in Phase 35, not reviewed) rather than being escalated based on a review that didn't happen.","not fetched this phase (JS portal, no static content)",2026-09-15
